"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Saint Kitts and Nevis","2013","Male","Not applicable","Percent","56.04167"
"Saint Kitts and Nevis","2013","Female","Not applicable","Percent","63.36207"
"Saint Kitts and Nevis","2013","All genders","Not applicable","Percent","59.63983"
"Saint Kitts and Nevis","2012","All genders","Not applicable","Percent","59.42492"
"Saint Kitts and Nevis","2012","Female","Not applicable","Percent","60.69114"
"Saint Kitts and Nevis","2012","Male","Not applicable","Percent","58.19328"
"Saint Kitts and Nevis","2010","Male","Not applicable","Percent","53.45912"
"Saint Kitts and Nevis","2010","Female","Not applicable","Percent","53.13175"
"Saint Kitts and Nevis","2010","All genders","Not applicable","Percent","53.29787"
"Saint Kitts and Nevis","2008","All genders","Not applicable","Percent","52.8866"
"Saint Kitts and Nevis","2008","Female","Not applicable","Percent","54.07098"
"Saint Kitts and Nevis","2008","Male","Not applicable","Percent","51.73116"
"Saint Kitts and Nevis","2007","Male","Not applicable","Percent","56.53924"
"Saint Kitts and Nevis","2007","Female","Not applicable","Percent","63.91753"
"Saint Kitts and Nevis","2007","All genders","Not applicable","Percent","60.1833"
"Saint Kitts and Nevis","2004","All genders","Not applicable","Percent","68.61314"
"Saint Kitts and Nevis","2004","Female","Not applicable","Percent","66.4557"
"Saint Kitts and Nevis","2004","Male","Not applicable","Percent","70.72165"
"Saint Kitts and Nevis","2003","Male","Not applicable","Percent","67.15177"
"Saint Kitts and Nevis","2003","Female","Not applicable","Percent","66.16379"
"Saint Kitts and Nevis","2003","All genders","Not applicable","Percent","66.66667"
"Saint Kitts and Nevis","2002","All genders","Not applicable","Percent","71.03301"
"Saint Kitts and Nevis","2002","Female","Not applicable","Percent","71.61572"
"Saint Kitts and Nevis","2002","Male","Not applicable","Percent","70.47817"
"Saint Lucia","2007","Female","Not applicable","Percent","72.18453"
"Saint Lucia","2007","Male","Not applicable","Percent","76.20339"
"Saint Lucia","2007","All genders","Not applicable","Percent","74.19464"
"Saint Lucia","2006","Male","Not applicable","Percent","67.93614"
"Saint Lucia","2006","All genders","Not applicable","Percent","68.56871"
"Saint Lucia","2006","Female","Not applicable","Percent","69.2"
"Saint Lucia","2005","Male","Not applicable","Percent","68.71728"
"Saint Lucia","2005","Female","Not applicable","Percent","66.49249"
"Saint Lucia","2005","All genders","Not applicable","Percent","67.60379"
"Saint Lucia","2004","All genders","Not applicable","Percent","65.42502"
"Saint Lucia","2004","Female","Not applicable","Percent","63.23529"
"Saint Lucia","2004","Male","Not applicable","Percent","67.5967"
"Saint Lucia","2003","Male","Not applicable","Percent","64.79302"
"Saint Lucia","2003","Female","Not applicable","Percent","62.62857"
"Saint Lucia","2003","All genders","Not applicable","Percent","63.71984"
"Saint Lucia","2002","All genders","Not applicable","Percent","64.66805"
"Saint Lucia","2002","Female","Not applicable","Percent","64.87559"
"Saint Lucia","2002","Male","Not applicable","Percent","64.46558"
"Saint Lucia","2000","Male","Not applicable","Percent","74.89314"
"Saint Lucia","2000","Female","Not applicable","Percent","72.53194"
"Saint Lucia","2000","All genders","Not applicable","Percent","73.7276"
"Saint Vincent and the Grenadines","2014","Female","Not applicable","Percent","62.29339"
"Saint Vincent and the Grenadines","2014","Male","Not applicable","Percent","63.73855"
"Saint Vincent and the Grenadines","2014","All genders","Not applicable","Percent","63.02351"
"Saint Vincent and the Grenadines","2010","Male","Not applicable","Percent","58.58369"
"Saint Vincent and the Grenadines","2010","Female","Not applicable","Percent","58.44298"
"Saint Vincent and the Grenadines","2010","All genders","Not applicable","Percent","58.5141"
"Saint Vincent and the Grenadines","2003","Female","Not applicable","Percent","64.37848"
"Saint Vincent and the Grenadines","2003","All genders","Not applicable","Percent","63.978"
"Saint Vincent and the Grenadines","2003","Male","Not applicable","Percent","63.58696"
"Samoa","1998","Male","Not applicable","Percent","77.0416"
"Samoa","1998","Female","Not applicable","Percent","76.24894"
"Samoa","1998","All genders","Not applicable","Percent","76.66398"
"San Marino","2012","All genders","Not applicable","Percent","95.25316"
"San Marino","2012","Female","Not applicable","Percent","95.12195"
"San Marino","2012","Male","Not applicable","Percent","95.33679"
"San Marino","2010","Female","Not applicable","Percent","84.24242"
"San Marino","2010","All genders","Not applicable","Percent","85.91954"
"San Marino","2010","Male","Not applicable","Percent","87.43169"
"San Marino","2009","Male","Not applicable","Percent","88.17204"
"San Marino","2009","Female","Not applicable","Percent","89.78102"
"San Marino","2009","All genders","Not applicable","Percent","88.85449"
"Sao Tome and Principe","2015","All genders","Not applicable","Percent","94.82981"
"Sao Tome and Principe","2015","Male","Not applicable","Percent","96.42075"
"Sao Tome and Principe","2015","Female","Not applicable","Percent","93.21468"
"Sao Tome and Principe","2014","Female","Not applicable","Percent","95.81777"
"Sao Tome and Principe","2014","Male","Not applicable","Percent","95.80728"
"Sao Tome and Principe","2014","All genders","Not applicable","Percent","95.81249"
"Sao Tome and Principe","2013","All genders","Not applicable","Percent","95.27721"
"Sao Tome and Principe","2013","Male","Not applicable","Percent","95.62801"
"Sao Tome and Principe","2013","Female","Not applicable","Percent","94.92099"
"Sao Tome and Principe","2008","Female","Not applicable","Percent","58.98947"
"Sao Tome and Principe","2008","Male","Not applicable","Percent","53.93538"
"Sao Tome and Principe","2008","All genders","Not applicable","Percent","56.44185"
"Sao Tome and Principe","2007","All genders","Not applicable","Percent","56.07759"
"Sao Tome and Principe","2007","Male","Not applicable","Percent","55.34188"
"Sao Tome and Principe","2007","Female","Not applicable","Percent","56.82609"
"Saudi Arabia","2014","All genders","Not applicable","Percent","81.30025"
"Saudi Arabia","2014","Female","Not applicable","Percent","81.18221"
"Saudi Arabia","2014","Male","Not applicable","Percent","81.41258"
"Saudi Arabia","2013","Female","Not applicable","Percent","83.00234"
"Saudi Arabia","2013","Male","Not applicable","Percent","82.446"
"Saudi Arabia","2013","All genders","Not applicable","Percent","82.71736"
"Saudi Arabia","2012","Female","Not applicable","Percent","81.97804"
"Saudi Arabia","2012","All genders","Not applicable","Percent","81.25149"
"Saudi Arabia","2012","Male","Not applicable","Percent","80.55848"
"Saudi Arabia","2011","Female","Not applicable","Percent","80.74454"
"Saudi Arabia","2011","Male","Not applicable","Percent","78.6741"
"Saudi Arabia","2011","All genders","Not applicable","Percent","79.68649"
"Saudi Arabia","2010","All genders","Not applicable","Percent","77.92636"
"Saudi Arabia","2010","Male","Not applicable","Percent","76.87341"
"Saudi Arabia","2010","Female","Not applicable","Percent","79.02256"
"Saudi Arabia","2009","Female","Not applicable","Percent","60.82097"
"Saudi Arabia","2009","Male","Not applicable","Percent","58.86066"
"Saudi Arabia","2009","All genders","Not applicable","Percent","59.82302"
"Senegal","2007","Female","Not applicable","Percent","28.0948"
"Senegal","2007","Male","Not applicable","Percent","26.39058"
"Senegal","2007","All genders","Not applicable","Percent","27.23522"
"Senegal","2006","All genders","Not applicable","Percent","21.81198"
"Senegal","2006","Male","Not applicable","Percent","21.4068"
"Senegal","2006","Female","Not applicable","Percent","22.22405"
"Senegal","2005","Female","Not applicable","Percent","17.06388"
"Senegal","2005","Male","Not applicable","Percent","16.58704"
"Senegal","2005","All genders","Not applicable","Percent","16.82343"
"Senegal","2004","All genders","Not applicable","Percent","18.11142"
"Senegal","2004","Male","Not applicable","Percent","17.77085"
"Senegal","2004","Female","Not applicable","Percent","18.45771"
"Senegal","1999","All genders","Not applicable","Percent","37.40034"
"Serbia","2014","Female","Not applicable","Percent","83.01807"
"Serbia","2014","Male","Not applicable","Percent","82.48019"
"Serbia","2014","All genders","Not applicable","Percent","82.74244"
"Serbia","2013","Female","Not applicable","Percent","76.63994"
"Serbia","2013","All genders","Not applicable","Percent","76.3689"
"Serbia","2013","Male","Not applicable","Percent","76.11"
"Serbia","2009","Female","Not applicable","Percent","82.84843"
"Serbia","2009","All genders","Not applicable","Percent","83.64154"
"Serbia","2009","Male","Not applicable","Percent","84.39967"
"Seychelles","2014","Male","Not applicable","Percent","64.76418"
"Seychelles","2014","Female","Not applicable","Percent","73.73096"
"Seychelles","2014","All genders","Not applicable","Percent","69.14601"
"Seychelles","2011","All genders","Not applicable","Percent","75.42"
"Seychelles","2011","Female","Not applicable","Percent","78.16092"
"Seychelles","2011","Male","Not applicable","Percent","72.78525"
"Seychelles","2008","Male","Not applicable","Percent","69.98672"
"Seychelles","2008","Female","Not applicable","Percent","73.72808"
"Seychelles","2008","All genders","Not applicable","Percent","71.81224"
"Seychelles","2003","All genders","Not applicable","Percent","68.4137"
"Seychelles","2003","Female","Not applicable","Percent","67.42857"
"Seychelles","2003","Male","Not applicable","Percent","69.35705"
"Seychelles","2002","Male","Not applicable","Percent","64.39548"
"Seychelles","2002","Female","Not applicable","Percent","69.11565"
"Seychelles","2002","All genders","Not applicable","Percent","66.70269"
"Seychelles","2001","All genders","Not applicable","Percent","63.78628"
"Seychelles","2001","Female","Not applicable","Percent","62.97297"
"Seychelles","2001","Male","Not applicable","Percent","64.56186"
"Seychelles","2000","Male","Not applicable","Percent","65.14103"
"Seychelles","2000","Female","Not applicable","Percent","68.45387"
"Seychelles","2000","All genders","Not applicable","Percent","66.75487"
"Seychelles","1999","All genders","Not applicable","Percent","63.52003"
"Seychelles","1999","Female","Not applicable","Percent","64.09037"
"Seychelles","1999","Male","Not applicable","Percent","62.97866"
"Seychelles","1998","Male","Not applicable","Percent","61.30221"
"Seychelles","1998","Female","Not applicable","Percent","62.95337"
"Seychelles","1998","All genders","Not applicable","Percent","62.10593"
"Sierra Leone","2012","Male","Not applicable","Percent","72.4006"
"Sierra Leone","2012","All genders","Not applicable","Percent","71.32562"
"Sierra Leone","2012","Female","Not applicable","Percent","70.25471"
"Slovenia","2013","Female","Not applicable","Percent","95.7924"
"Slovenia","2013","All genders","Not applicable","Percent","93.61327"
"Slovenia","2013","Male","Not applicable","Percent","91.55753"
"Solomon Islands","2014","Male","Not applicable","Percent","8.16529"
"Solomon Islands","2014","All genders","Not applicable","Percent","9.06306"
"Solomon Islands","2014","Female","Not applicable","Percent","10.01978"
"South Africa","2005","Male","Not applicable","Percent","46.73812"
"South Africa","2005","All genders","Not applicable","Percent","49.18584"
"South Africa","2005","Female","Not applicable","Percent","52.10742"
"South Africa","2004","Male","Not applicable","Percent","47.7951"
"South Africa","2004","Female","Not applicable","Percent","53.48119"
"South Africa","2004","All genders","Not applicable","Percent","50.40995"
"South Africa","2003","Male","Not applicable","Percent","40.82954"
"South Africa","2003","All genders","Not applicable","Percent","41.88126"
"South Africa","2003","Female","Not applicable","Percent","43.08397"
"South Africa","2002","Male","Not applicable","Percent","40.6881"
"South Africa","2002","Female","Not applicable","Percent","42.77187"
"South Africa","2002","All genders","Not applicable","Percent","41.67565"
"South Africa","2001","Male","Not applicable","Percent","37.42101"
"South Africa","2001","All genders","Not applicable","Percent","37.41725"
"South Africa","2001","Female","Not applicable","Percent","37.41317"
"South Africa","1999","Male","Not applicable","Percent","42.48163"
"South Africa","1999","All genders","Not applicable","Percent","42.34057"
"South Africa","1999","Female","Not applicable","Percent","42.19169"
"South Africa","1998","All genders","Not applicable","Percent","46.63981"
"South Africa","1998","Female","Not applicable","Percent","47.76628"
"South Africa","1998","Male","Not applicable","Percent","45.55737"
"Spain","2014","Male","Not applicable","Percent","96.99145"
"Spain","2014","Female","Not applicable","Percent","97.44703"
"Spain","2014","All genders","Not applicable","Percent","97.21253"
"Spain","2012","Female","Not applicable","Percent","98.73849"
"Spain","2012","All genders","Not applicable","Percent","97.92592"
"Spain","2012","Male","Not applicable","Percent","97.15994"
"Spain","2011","Female","Not applicable","Percent","98.47051"
"Spain","2011","All genders","Not applicable","Percent","98.10308"
"Spain","2011","Male","Not applicable","Percent","97.75622"
"Spain","2009","All genders","Not applicable","Percent","98.38354"
"Spain","2009","Male","Not applicable","Percent","97.75314"
"Spain","2009","Female","Not applicable","Percent","99.05228"
"Spain","2008","All genders","Not applicable","Percent","98.38103"
"Spain","2008","Female","Not applicable","Percent","99.07222"
"Spain","2008","Male","Not applicable","Percent","97.72883"
"Spain","2006","All genders","Not applicable","Percent","99.05793"
"Spain","2006","Male","Not applicable","Percent","98.89344"
"Spain","2006","Female","Not applicable","Percent","99.23179"
"Spain","2005","All genders","Not applicable","Percent","98.11439"
"Spain","2005","Female","Not applicable","Percent","97.97567"
"Spain","2005","Male","Not applicable","Percent","98.24563"
"Spain","2004","All genders","Not applicable","Percent","98.07609"
"Spain","2004","Male","Not applicable","Percent","97.72431"
"Spain","2004","Female","Not applicable","Percent","98.44791"
"Spain","2003","All genders","Not applicable","Percent","98.47228"
"Spain","2003","Male","Not applicable","Percent","98.12587"
"Spain","2003","Female","Not applicable","Percent","98.83848"
"Spain","2002","Male","Not applicable","Percent","96.90324"
"Spain","2002","Female","Not applicable","Percent","97.41015"
"Spain","2002","All genders","Not applicable","Percent","97.14959"
"Sri Lanka","2006","All genders","Not applicable","Percent","94.61138"
"Sri Lanka","2006","Male","Not applicable","Percent","94.9955"
"Sri Lanka","2006","Female","Not applicable","Percent","94.21555"
"Sri Lanka","2003","All genders","Not applicable","Percent","92.65396"
"Sri Lanka","2003","Female","Not applicable","Percent","92.55647"
"Sri Lanka","2003","Male","Not applicable","Percent","92.7481"
"Sri Lanka","2002","Male","Not applicable","Percent","95.43546"
"Sri Lanka","2002","All genders","Not applicable","Percent","95.64532"
"Sri Lanka","2002","Female","Not applicable","Percent","95.86242"
"Sri Lanka","2001","Female","Not applicable","Percent","94.08793"
"Sri Lanka","2001","All genders","Not applicable","Percent","93.93467"
"Sri Lanka","2001","Male","Not applicable","Percent","93.78634"
"Suriname","2014","Male","Not applicable","Percent","64.54183"
"Suriname","2014","Female","Not applicable","Percent","67.8098"
"Suriname","2014","All genders","Not applicable","Percent","66.13118"
"Suriname","2013","Male","Not applicable","Percent","40.004"
"Suriname","2013","All genders","Not applicable","Percent","40.90353"
"Suriname","2013","Female","Not applicable","Percent","41.83822"
"Suriname","2009","All genders","Not applicable","Percent","93.04882"
"Suriname","2009","Female","Not applicable","Percent","92.98281"
"Suriname","2009","Male","Not applicable","Percent","93.1136"
"Suriname","2008","Male","Not applicable","Percent","89.96513"
"Suriname","2008","All genders","Not applicable","Percent","90.2537"
"Suriname","2008","Female","Not applicable","Percent","90.54884"
"Suriname","2007","Female","Not applicable","Percent","80.57256"
"Suriname","2007","All genders","Not applicable","Percent","82.11643"
"Suriname","2007","Male","Not applicable","Percent","83.61821"
"Suriname","2006","Male","Not applicable","Percent","82.38232"
"Suriname","2006","All genders","Not applicable","Percent","80.98351"
"Suriname","2006","Female","Not applicable","Percent","79.54005"
"Suriname","2005","Female","Not applicable","Percent","63.36276"
"Suriname","2005","All genders","Not applicable","Percent","59.09404"
"Suriname","2005","Male","Not applicable","Percent","54.99711"
"Swaziland","2013","Male","Not applicable","Percent","34.02861"
"Swaziland","2013","All genders","Not applicable","Percent","35.39208"
"Swaziland","2013","Female","Not applicable","Percent","36.77419"
"Swaziland","2012","Female","Not applicable","Percent","36.26366"
"Swaziland","2012","All genders","Not applicable","Percent","35.64596"
"Swaziland","2012","Male","Not applicable","Percent","35.03659"
"Swaziland","2011","Male","Not applicable","Percent","39.17384"
"Swaziland","2011","All genders","Not applicable","Percent","39.96058"
"Swaziland","2011","Female","Not applicable","Percent","40.75814"
"Swaziland","2010","Female","Not applicable","Percent","46.668"
"Swaziland","2010","All genders","Not applicable","Percent","49.18605"
"Swaziland","2010","Male","Not applicable","Percent","51.66953"
"Swaziland","2009","All genders","Not applicable","Percent","43.43185"
"Swaziland","2009","Male","Not applicable","Percent","44.3745"
"Swaziland","2009","Female","Not applicable","Percent","42.47615"
"Swaziland","2007","All genders","Not applicable","Percent","49.55532"
"Swaziland","2007","Female","Not applicable","Percent","51.54361"
"Swaziland","2007","Male","Not applicable","Percent","47.59237"
"Swaziland","2006","Female","Not applicable","Percent","52.29815"
"Swaziland","2006","Male","Not applicable","Percent","50.48246"
"Swaziland","2006","All genders","Not applicable","Percent","51.38456"
"Swaziland","2005","Female","Not applicable","Percent","45.92246"
"Swaziland","2005","All genders","Not applicable","Percent","46.06801"
"Swaziland","2005","Male","Not applicable","Percent","46.21172"
"Swaziland","2004","Female","Not applicable","Percent","46.7806"
"Swaziland","2004","Male","Not applicable","Percent","44.91902"
"Swaziland","2004","All genders","Not applicable","Percent","45.8432"
"Swaziland","2003","Female","Not applicable","Percent","43.5926"
"Swaziland","2003","All genders","Not applicable","Percent","43.15813"
"Swaziland","2003","Male","Not applicable","Percent","42.73009"
"Swaziland","2002","Female","Not applicable","Percent","44.87808"
"Swaziland","2002","Male","Not applicable","Percent","43.8068"
"Swaziland","2002","All genders","Not applicable","Percent","44.33844"
"Swaziland","2001","Female","Not applicable","Percent","45.66824"
"Swaziland","2001","All genders","Not applicable","Percent","44.32397"
"Swaziland","2001","Male","Not applicable","Percent","42.99969"
"Swaziland","2000","Female","Not applicable","Percent","43.94064"
"Swaziland","2000","Male","Not applicable","Percent","41.86206"
"Swaziland","2000","All genders","Not applicable","Percent","42.8934"
"Swaziland","1999","Female","Not applicable","Percent","41.37931"
"Swaziland","1999","All genders","Not applicable","Percent","39.94883"
"Swaziland","1999","Male","Not applicable","Percent","38.54058"
"Swaziland","1998","Male","Not applicable","Percent","34.67255"
"Swaziland","1998","All genders","Not applicable","Percent","36.05604"
"Swaziland","1998","Female","Not applicable","Percent","37.46238"
"Sweden","2014","Female","Not applicable","Percent","97.50063"
"Sweden","2014","All genders","Not applicable","Percent","97.51033"
"Sweden","2014","Male","Not applicable","Percent","97.51952"
"Sweden","2013","Male","Not applicable","Percent","96.59919"
"Sweden","2013","All genders","Not applicable","Percent","96.57494"
"Sweden","2013","Female","Not applicable","Percent","96.54936"
"Sweden","2011","Female","Not applicable","Percent","98.03852"
"Sweden","2011","All genders","Not applicable","Percent","98.1849"
"Sweden","2011","Male","Not applicable","Percent","98.32382"
"Sweden","2009","Male","Not applicable","Percent","97.79434"
"Sweden","2009","All genders","Not applicable","Percent","96.87241"
"Sweden","2009","Female","Not applicable","Percent","95.90114"
"Sweden","2008","All genders","Not applicable","Percent","96.24146"
"Sweden","2008","Female","Not applicable","Percent","95.53442"
"Sweden","2008","Male","Not applicable","Percent","96.91262"
"Sweden","2007","Male","Not applicable","Percent","98.77738"
"Sweden","2007","Female","Not applicable","Percent","98.2581"
"Sweden","2007","All genders","Not applicable","Percent","98.52447"
"Sweden","2006","All genders","Not applicable","Percent","96.0741"
"Sweden","2006","Female","Not applicable","Percent","95.20331"
"Sweden","2006","Male","Not applicable","Percent","96.90084"
"Sweden","2005","Male","Not applicable","Percent","91.62105"
"Sweden","2005","Female","Not applicable","Percent","90.61009"
"Sweden","2005","All genders","Not applicable","Percent","91.12842"
"Sweden","2004","All genders","Not applicable","Percent","89.74146"
"Sweden","2004","Female","Not applicable","Percent","89.62854"
"Sweden","2004","Male","Not applicable","Percent","89.84886"
"Sweden","2003","Male","Not applicable","Percent","91.45137"
"Sweden","2003","Female","Not applicable","Percent","89.76537"
"Sweden","2003","All genders","Not applicable","Percent","90.6293"
"Sweden","2002","All genders","Not applicable","Percent","92.69821"
"Sweden","2002","Female","Not applicable","Percent","92.37117"
"Sweden","2002","Male","Not applicable","Percent","93.00934"
"Switzerland","2003","All genders","Not applicable","Percent","55.44198"
"Switzerland","2003","Male","Not applicable","Percent","55.00686"
"Switzerland","2003","Female","Not applicable","Percent","55.90309"
"Syrian Arab Republic","2008","Female","Not applicable","Percent","50.88015"
"Syrian Arab Republic","2008","Male","Not applicable","Percent","51.57244"
"Syrian Arab Republic","2008","All genders","Not applicable","Percent","51.23552"
"Syrian Arab Republic","2007","All genders","Not applicable","Percent","50.74416"
"Syrian Arab Republic","2007","Male","Not applicable","Percent","50.39524"
"Syrian Arab Republic","2007","Female","Not applicable","Percent","51.1134"
"Syrian Arab Republic","2005","Female","Not applicable","Percent","59.66108"
"Syrian Arab Republic","2005","Male","Not applicable","Percent","59.79441"
"Syrian Arab Republic","2005","All genders","Not applicable","Percent","59.7297"
"Syrian Arab Republic","2004","All genders","Not applicable","Percent","59.7122"
"Syrian Arab Republic","2004","Male","Not applicable","Percent","59.99031"
"Syrian Arab Republic","2004","Female","Not applicable","Percent","59.41765"
"Syrian Arab Republic","2003","All genders","Not applicable","Percent","66.96084"
"Syrian Arab Republic","2003","Female","Not applicable","Percent","67.47141"
"Syrian Arab Republic","2003","Male","Not applicable","Percent","66.47691"
"Syrian Arab Republic","2001","All genders","Not applicable","Percent","55.24238"
"Syrian Arab Republic","2001","Male","Not applicable","Percent","55.96216"
"Syrian Arab Republic","2001","Female","Not applicable","Percent","54.48928"
"Syrian Arab Republic","2000","Male","Not applicable","Percent","59.37282"
"Syrian Arab Republic","2000","Female","Not applicable","Percent","59.3835"
"Syrian Arab Republic","2000","All genders","Not applicable","Percent","59.37805"
"Syrian Arab Republic","1999","Male","Not applicable","Percent","61.3421"
"Syrian Arab Republic","1999","All genders","Not applicable","Percent","60.77159"
"Syrian Arab Republic","1999","Female","Not applicable","Percent","60.17639"
"Tajikistan","2015","Female","Not applicable","Percent","95.28435"
"Tajikistan","2015","All genders","Not applicable","Percent","94.90294"
"Tajikistan","2015","Male","Not applicable","Percent","94.55152"
"Tajikistan","2014","Male","Not applicable","Percent","93.63348"
"Tajikistan","2014","All genders","Not applicable","Percent","93.65206"
"Tajikistan","2014","Female","Not applicable","Percent","93.67201"
"Tajikistan","2013","Female","Not applicable","Percent","92.28555"
"Tajikistan","2013","All genders","Not applicable","Percent","93.23968"
"Tajikistan","2013","Male","Not applicable","Percent","94.13779"
"Tajikistan","2008","All genders","Not applicable","Percent","95.32562"
"Tajikistan","2006","All genders","Not applicable","Percent","95.63103"
"Tajikistan","1999","All genders","Not applicable","Percent","84.28083"
"Tajikistan","1999","Male","Not applicable","Percent","86.60358"
"Tajikistan","1999","Female","Not applicable","Percent","81.89004"
"Thailand","2014","Female","Not applicable","Percent","74.0856"
"Thailand","2014","Male","Not applicable","Percent","74.57833"
"Thailand","2014","All genders","Not applicable","Percent","74.33853"
"The former Yugoslav Republic of Macedonia","2009","Male","Not applicable","Percent","81.38175"
"The former Yugoslav Republic of Macedonia","2009","Female","Not applicable","Percent","79.57189"
"The former Yugoslav Republic of Macedonia","2009","All genders","Not applicable","Percent","80.49886"
"The former Yugoslav Republic of Macedonia","2002","All genders","Not applicable","Percent","71.94163"
"The former Yugoslav Republic of Macedonia","2002","Female","Not applicable","Percent","70.51373"
"The former Yugoslav Republic of Macedonia","2002","Male","Not applicable","Percent","73.30076"
"Timor-Leste","2014","All genders","Not applicable","Percent","39.8257"
"Timor-Leste","2014","Female","Not applicable","Percent","41.8173"
"Timor-Leste","2014","Male","Not applicable","Percent","37.92944"
"Timor-Leste","2013","All genders","Not applicable","Percent","40.65886"
"Timor-Leste","2013","Male","Not applicable","Percent","40.21455"
"Timor-Leste","2013","Female","Not applicable","Percent","41.12373"
"Timor-Leste","2012","All genders","Not applicable","Percent","36.59993"
"Timor-Leste","2012","Female","Not applicable","Percent","36.6689"
"Timor-Leste","2012","Male","Not applicable","Percent","36.53376"
"Timor-Leste","2011","All genders","Not applicable","Percent","46.21058"
"Timor-Leste","2011","Male","Not applicable","Percent","47.10885"
"Timor-Leste","2011","Female","Not applicable","Percent","45.27704"
"Timor-Leste","2010","Female","Not applicable","Percent","56.62037"
"Timor-Leste","2010","Male","Not applicable","Percent","55.94601"
"Timor-Leste","2010","All genders","Not applicable","Percent","56.27676"
"Timor-Leste","2009","All genders","Not applicable","Percent","48.1624"
"Timor-Leste","2009","Male","Not applicable","Percent","49.22492"
"Timor-Leste","2009","Female","Not applicable","Percent","47.05431"
"Timor-Leste","2008","Female","Not applicable","Percent","43.63108"
"Timor-Leste","2008","Male","Not applicable","Percent","45.52658"
"Timor-Leste","2008","All genders","Not applicable","Percent","44.59953"
"Timor-Leste","2005","All genders","Not applicable","Percent","36.87748"
"Timor-Leste","2005","Male","Not applicable","Percent","37.51845"
"Timor-Leste","2005","Female","Not applicable","Percent","36.20924"
"Togo","2013","Female","Not applicable","Percent","18.73864"
"Togo","2013","Male","Not applicable","Percent","20.15732"
"Togo","2013","All genders","Not applicable","Percent","19.44938"
"Togo","2012","All genders","Not applicable","Percent","56.67839"
"Togo","2012","Male","Not applicable","Percent","58.15463"
"Togo","2012","Female","Not applicable","Percent","55.19662"
"Togo","2011","All genders","Not applicable","Percent","55.59967"
"Togo","2011","Female","Not applicable","Percent","53.93329"
"Togo","2011","Male","Not applicable","Percent","57.26068"
"Togo","2010","Female","Not applicable","Percent","57.73581"
"Togo","2010","Male","Not applicable","Percent","60.35368"
"Togo","2010","All genders","Not applicable","Percent","59.04667"
"Togo","2007","Female","Not applicable","Percent","46.98594"
"Togo","2007","All genders","Not applicable","Percent","48.6231"
"Togo","2007","Male","Not applicable","Percent","50.25981"
"Togo","2006","Male","Not applicable","Percent","49.64543"
"Togo","2006","Female","Not applicable","Percent","46.51426"
"Togo","2006","All genders","Not applicable","Percent","48.07922"
"Togo","2005","All genders","Not applicable","Percent","42.82344"
"Togo","2005","Female","Not applicable","Percent","40.98144"
"Togo","2005","Male","Not applicable","Percent","44.66729"
"Togo","2004","Male","Not applicable","Percent","45.67601"
"Togo","2004","Female","Not applicable","Percent","41.02324"
"Togo","2004","All genders","Not applicable","Percent","43.34769"
"Togo","2003","All genders","Not applicable","Percent","43.74963"
"Togo","2003","Female","Not applicable","Percent","41.09576"
"Togo","2003","Male","Not applicable","Percent","46.41045"
"Togo","2002","Male","Not applicable","Percent","46.95508"
"Togo","2002","Female","Not applicable","Percent","41.52192"
"Togo","2002","All genders","Not applicable","Percent","44.23359"
"Togo","2001","All genders","Not applicable","Percent","44.0753"
"Togo","2001","Female","Not applicable","Percent","40.77572"
"Togo","2001","Male","Not applicable","Percent","47.38918"
"Togo","2000","Male","Not applicable","Percent","43.01941"
"Togo","2000","Female","Not applicable","Percent","37.60832"
"Togo","2000","All genders","Not applicable","Percent","40.30715"
"Togo","1999","All genders","Not applicable","Percent","40.32126"
"Togo","1999","Female","Not applicable","Percent","37.54602"
"Togo","1999","Male","Not applicable","Percent","43.11336"
"Tonga","2013","Male","Not applicable","Percent","58.24334"
"Tonga","2013","Female","Not applicable","Percent","55.92564"
"Tonga","2013","All genders","Not applicable","Percent","57.12687"
"Tonga","2012","Male","Not applicable","Percent","62.70463"
"Tonga","2012","Female","Not applicable","Percent","60.97501"
"Tonga","2012","All genders","Not applicable","Percent","61.87539"
"Tonga","2001","Female","Not applicable","Percent","87.86482"
"Tonga","2001","All genders","Not applicable","Percent","85.57047"
"Tonga","2001","Male","Not applicable","Percent","83.4058"
"Tonga","1999","Female","Not applicable","Percent","45.49654"
"Tonga","1999","Male","Not applicable","Percent","49.74693"
"Tonga","1999","All genders","Not applicable","Percent","47.68829"
"Tonga","1998","Female","Not applicable","Percent","58.85167"
"Tonga","1998","All genders","Not applicable","Percent","59.28489"
"Tonga","1998","Male","Not applicable","Percent","59.6882"
"Trinidad and Tobago","2010","Female","Not applicable","Percent","73.38905"
"Trinidad and Tobago","2010","Male","Not applicable","Percent","73.25706"
"Trinidad and Tobago","2010","All genders","Not applicable","Percent","73.32213"
"Trinidad and Tobago","2009","Male","Not applicable","Percent","72.30047"
"Trinidad and Tobago","2009","All genders","Not applicable","Percent","72.39508"
"Trinidad and Tobago","2009","Female","Not applicable","Percent","72.49242"
"Trinidad and Tobago","2008","Male","Not applicable","Percent","68.36051"
"Trinidad and Tobago","2008","Female","Not applicable","Percent","68.43678"
"Trinidad and Tobago","2008","All genders","Not applicable","Percent","68.3981"
"Trinidad and Tobago","2004","Male","Not applicable","Percent","62.58811"
"Trinidad and Tobago","2004","All genders","Not applicable","Percent","62.43588"
"Trinidad and Tobago","2004","Female","Not applicable","Percent","62.27928"
